sku,name,description,category,moq,retail_price,wholesale_price,stock,images
21018385-1-82-/-190,"Матрак ARMIDA, еднолицев - 82 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,211.16,158.37,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-90-/-190,"Матрак ARMIDA, еднолицев - 90 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,225.99,169.49,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-90-/-200,"Матрак ARMIDA, еднолицев - 90 / 200",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,240.82,180.62,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-114-/-190,"Матрак ARMIDA, еднолицев - 114 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,275.08,206.31,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-120-/-190,"Матрак ARMIDA, еднолицев - 120 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,289.90,217.42,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-140-/-200,"Матрак ARMIDA, еднолицев - 140 / 200",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,325.18,243.88,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-144-/-190,"Матрак ARMIDA, еднолицев - 144 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,325.18,243.88,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-160-/-200,"Матрак ARMIDA, еднолицев - 160 / 200",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,380.91,285.68,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018385-1-164-/-190,"Матрак ARMIDA, еднолицев - 164 / 190",Еднолицев модел матрак Армида с ергономичен комфорт от Flexible Technology и стабилна дървена рамка. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал. Двуслойното профилирано ядро осигурява възможност за индивидуално определяне на предпочитания комфорт. Профилираната повърхност осигурява деликатен масаж на тялото и спомага кръвообращението. Облечен в луксозен калъф със сваляема горна част за лесна поддръжка и отлична хигиена. Моделът включва вградена дървена рамка от иглолистен материал.,Матраци,1,372.22,279.17,100,https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbac65638b_1280x1280.png?1668266716|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbbc7ada89_1920x1920.jpeg?1668266967|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb921b65b2_1920x1920.jpeg?1668266955|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fbc123199a_1280x1280.png?1668267047|https://cdncloudcart.com/28510/products/images/1583/ednolicev-matrak-armida-636fb920d80d6_1280x1280.png?1668267031
21018341-1-82-/-190,"Матрак AWA, еднолицев - 82 / 190","Матрак, с отлично съчетание на удобство и добра опора на разумна цена. Модел Awa се предлага и в еднолицев вариант, със стабилна основа от висококачествен иглолистен материал , което позволява използването му без допълнителна подматрачна рамка. Практично решение за обновяване на леглото. Класическо ядро с бонел за стабилна подръжка там, където е необходимо, а повърхността от пяна следва извивките на тялото . Обемна прошивка омекотява съпротивлението. Мемори частиците в нея бързо възстановяват формата си, за да се наслаждавате на винаги гладка и нежна повърхност .",Матраци,1,151.34,113.50,100,https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6312e374_1280x1280.png?1668269642|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63354d7f_800x800.jpeg?1668269634|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc631b3103_1280x1280.jpeg?1668269632|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc63294f59_1280x1280.png?1668269653|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc632ebf52_1280x1280.jpeg?1668269654|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc633b51de_1920x1920.jpeg?1668269656|https://cdncloudcart.com/28510/products/images/1584/ednolicev-matrak-awa-636fc6341ef8f_800x800.jpeg?1668269633
